feature,mutual_information
patient_nbr,0.06100952018166739
number_inpatient,0.030461624277930754
discharge_disposition_id_raw,0.022749112386752257
diag_1,0.021462166409339734
discharge_disposition_id,0.018025576005249455
diag_2,0.015109945283348303
encounter_id,0.012875104044591357
diag_3,0.01215740262989451
glimepiride,0.011164439929269188
miglitol,0.010691551865739335
number_diagnoses,0.010532919895565707
acarbose,0.010315525495182998
medical_specialty,0.009657243833559814
nateglinide,0.009112964636181387
race,0.008526286875475853
weight,0.008323010036209944
admission_source_id_raw,0.00812431017009585
admission_source_id,0.00800954479022975
insulin,0.007821073627047426
diabetesMed,0.0077753170504157865
number_emergency,0.007739316009382824
metformin,0.00769474446817342
glyburide,0.0075499728845216385
glyburide-metformin,0.006412420056256973
change,0.006315397029752479
admission_type_id_raw,0.005899985250984008
chlorpropamide,0.005678177696252007
gender,0.005270907827525928
number_outpatient,0.0052435444988441215
time_in_hospital,0.005076070808988309
num_medications,0.0050411944312560575
glipizide,0.004976622283115573
payer_code,0.004836815301369146
rosiglitazone,0.004143440669559295
repaglinide,0.003936884903579241
num_procedures,0.00338612100739466
num_lab_procedures,0.002969094026674002
A1Cresult,0.002458802304442065
metformin-pioglitazone,0.0023933071942430217
age,0.0023064512492032563
pioglitazone,0.0021211917942594027
admission_type_id,0.0020354590302567033
metformin-rosiglitazone,0.0017697020448652623
citoglipton,0.0016163751747753086
max_glu_serum,0.0006224582209051199
tolazamide,0.00029452812268071504
glipizide-metformin,7.44422774390241e-05
tolbutamide,0.0
glimepiride-pioglitazone,0.0
examide,0.0
acetohexamide,0.0
troglitazone,0.0
